,Tempi,Vout (RC=1),Vout (RC=0.1),Vout (RC=0.01)
137,1.37,0.127361709238697,-0.950554061580207,-1.0000000000640465
138,1.3800000000000001,0.11614427299251188,-0.9552594645608117,-1.0000000000618618
139,1.3900000000000001,0.1050384522633189,-0.9595170884184175,-1.0000000000596774
140,1.4000000000000001,0.09404313643812065,-0.9633695469029756,-1.0000000000574927
141,1.41,0.08315722591502815,-0.9668553949249457,-1.0000000000553082
142,1.42,0.07237963198183846,-0.9700095210037838,-1.0000000000531235
143,1.43,0.061709276694614734,-0.9728634916254987,-1.000000000050939
144,1.44,0.05114509292255833,-0.9754458717996718,-1.0000000000487543
145,1.45,0.040686024646271364,-0.977782505636806,-1.0000000000465699
146,1.46,0.030331026000151314,-0.9798967797737022,-1.0000000000443852
147,1.47,0.02007906145804894,-0.9818098537316235,-1.0000000000422007
148,1.48,0.00992910575900562,-0.9835408749523139,-1.000000000040016
149,1.49,-0.0001198562063361927,-0.9851071674021202,-1.0000000000378315
150,1.5,-0.010068829509322336,-0.9865244078174119,-1.0000000000356468
151,1.51,-0.01991880917616355,-0.9878067797625503,-1.0000000000334623
152,1.52,-0.029670779821555804,-0.9889671180572884,-1.0000000000312776
153,1.53,-0.03932571658090764,-0.990017035331053,-1.0000000000290932
154,1.54,-0.04888458497167028,-0.9909670400075433,-1.0000000000269085
155,1.55,-0.05834834094023912,-0.9918266396342628,-1.000000000024724
156,1.56,-0.06771793096789047,-0.9926044377120331,-1.0000000000225393
157,1.57,-0.07699429217671831,-0.9933082183805352,-1.0000000000203548
158,1.58,-0.08617835223498772,-0.9939450255784755,-1.0000000000181701
159,1.59,-0.09527102951037619,-0.9945212324392919,-1.0000000000159857
160,1.6,-0.10427323294918218,-0.995042606105563,-1.000000000013801
161,1.61,-0.1131858628142605,-0.995514364425972,-1.0000000000116165
162,1.62,-0.12200981043208145,-0.9959412290832286,-1.0000000000094318
163,1.6300000000000001,-0.1307459582955938,-0.9963274721160135,-1.0000000000072473
164,1.6400000000000001,-0.13939518016605687,-0.9966769591415326,-1.0000000000050626
165,1.6500000000000001,-0.1479583411050927,-0.9969931875855903,-1.0000000000028781
166,1.6600000000000001,-0.15643629694514155,-0.9972793234751237,-1.0000000000021414
167,1.67,-0.16482989532269024,-0.9975382301665184,-1.0000000000020781
168,1.68,-0.17313997560629088,-0.9977724987246731,-1.0000000000020148
169,1.69,-0.18136736884431615,-0.9979844741226672,-1.0000000000019518
170,1.7,-0.18951289785273062,-0.9981762778656759,-1.0000000000018885
171,1.71,-0.19757737730150415,-0.9983498281908005,-1.0000000000018252
172,1.72,-0.20556161379966933,-0.9985068633509416,-1.000000000001762
173,1.73,-0.21346640597902206,-0.9986489543113929,-1.0000000000016989
174,1.74,-0.2212925445764655,-0.9987775234121721,-1.0000000000016356
175,1.75,-0.2290408125149978,-0.9988938578970429,-1.0000000000015723
176,1.76,-0.23671198471978838,-0.9989991211560634,-1.000000000001509
177,1.77,-0.24430682788248936,-0.9990943677199011,-1.0000000000014457
178,1.78,-0.25182610150665996,-0.9991805500623383,-1.0000000000013827
179,1.79,-0.2592705575396353,-0.9992585310855546,-1.0000000000013194
180,1.8,-0.2666409404126053,-0.999329091345777,-1.000000000001256
181,1.81,-0.2739379871052934,-0.9993929366941091,-1.0000000000011928
182,1.82,-0.28116242720894546,-0.9994507066308406,-1.0000000000011298
183,1.83,-0.2883149829876292,-0.9995029787983507,-1.0000000000010665
184,1.84,-0.2953963694378444,-0.9995502767199682,-1.0000000000010032
185,1.85,-0.30240729434644353,-0.9995930737685071,-1.00000000000094
186,1.86,-0.3093484583556275,-0.9996317977885213,-1.0000000000008769
187,1.87,-0.31622055616070976,-0.9996668369755456,-1.0000000000008136
188,1.8800000000000001,-0.32302427560977437,-0.9996985417019618,-1.0000000000007503
189,1.8900000000000001,-0.32976029709285315,-0.9997272298299225,-1.000000000000687
190,1.9000000000000001,-0.3364292942170817,-0.9997531879333147,-1.000000000000624
191,1.9100000000000001,-0.3430319338702989,-0.9997766749289082,-1.0000000000005607
192,1.92,-0.3495688762836196,-0.9997979263285455,-1.0000000000004974
193,1.93,-0.3560407750929797,-0.9998171554035661,-1.000000000000434
194,1.94,-0.36244827739965274,-0.9998345548709029,-1.0000000000003708
195,1.95,-0.36879202382974,-0.9998502979900369,-1.0000000000003078
196,1.96,-0.3750726485926328,-0.9998645434904073,-1.0000000000002445
197,1.97,-0.38129077956904034,-0.9998774339763338,-1.0000000000001812
198,1.98,-0.38744703871453545,-0.9998890973889278,-1.000000000000118
199,1.99,-0.39354204208163984,-0.9998996512461225,-1.0000000000000633
200,2.0,-0.3995763606292007,-0.9999091742612396,-1.000000000000063
201,2.0100000000000002,-0.3856503431601045,-0.809592703599655,-1.000000000000063
202,2.02,-0.37186289188006844,-0.6373871931196601,-1.0000000000000628
203,2.0300000000000002,-0.3582126280051855,-0.48156919854143976,-1.0000000000000626
204,2.04,-0.3446981864758268,-0.34057924295305086,-1.0000000000000624
205,2.05,-0.33131821587766397,-0.2130062593768204,-1.0000000000000622
206,2.06,-0.31807137827644605,-0.09757345032763395,-1.000000000000062
